Author,Title,Credits,Summary,Language,Category,Release Date,Plain Text Link,Subject1,Subject2,Subject3,Subject4,Subject5,Subject6,Subject7,Subject8,Subject9,Subject10
"Marryat, Florence, 1837-1899","A moment of madness, and other stories (vol. 1 of 3)   Original Publication  London: F. V. White & Co., 1883.   Note  The last story in this volume concludes in volume 2, #72575.   Contents  A moment of madness -- Captain Norton's diary -- Old Contrairy -- 'Sent to his death!' [commenced].",Emmanuel Ackerman and the Online Distributed Proofreading Team at https://www.pgdp.net (This file was produced from images generously made available by The Internet Archive),"""A Moment of Madness"" by Florence Marryat is a collection of short stories written in the late 19th century. The opening tale introduces the struggles of Roland Tresham, a man ensnared in the difficulties of adulthood, marriage, and financial woes while juggling the expectations of societal norms and familial duties. As he interacts with his affluent sister and reflects on the relentless burdens posed by his responsibilities, the central theme appears to revolve around the conflicts between desire, duty, and the search for escape.  At the start of the book, the narrative focuses on Roland Tresham's visit to his sister, Mrs. Carnaby-Hicks, in her elegantly adorned drawing-room amidst the lively London season. Through their conversation, we gauge Roland's turmoil stemming from his discontented marriage to Juliet, whom he feels trapped by, exacerbated by financial strain as a father of six children. The interactions at Mrs. Carnaby-Hicks' drawing-room set the stage for a profound exploration of family dynamics, societal pressures, and personal crises, compelling the reader to ponder the fragility of happiness amidst the pursuit of wealth and social standing. (This is an automatically generated summary.)",English,Text,"Jan 1, 2024",https://www.gutenberg.org/ebooks/72574.txt.utf-8,"Short stories, English",,,,,,,,,
"Mead, Lucia True Ames, 1856-1936   LoC No.  07025866","Memoirs of a millionaire   Original Publication  United States: Houghton, Mifflin and Company,1889.",Richard Tonsing and the Online Distributed Proofreading Team at https://www.pgdp.net (This book was produced from images made available by the HathiTrust Digital Library.),"""Memoirs of a Millionaire"" by Lucia True Ames Mead is a novel written in the late 19th century. The narrative centers around Mildred Brewster, a young woman who unexpectedly inherits a vast fortune, which brings both excitement and a set of new responsibilities. As Mildred navigates her newfound wealth, she grapples with societal expectations and her own ideals about philanthropy and citizenship in America.  The opening portion introduces Mildred amid an intimate evening gathering, highlighting her strong character against the backdrop of wealthy yet apathetic young men discussing politics and societal issues. This dynamic sets the stage for a clash of values, particularly when Mildred boldly confronts the indifference of her peers, revealing her passionate convictions about civic duty and responsibility. As Mildred prepares to handle her inheritance, she is portrayed as a person combating societal norms with a desire to use her wealth for the greater good, a theme that foreshadows her philanthropic ambitions while also hinting at the challenges she will face in balancing personal ideals with social realities. (This is an automatically generated summary.)",English,Text,"Jan 1, 2023",https://www.gutenberg.org/ebooks/69678.txt.utf-8,Women philanthropists -- Fiction,,,,,,,,,
"Wharton, Edith, 1862-1937   LoC No.  25008793","The mother's recompense   Original Publication  New York: D. Appleton and Company, 1924, copyright 1925.","Emmanuel Ackerman, David E. Brown, and the Online Distributed Proofreading Team at https://www.pgdp.net (This file was produced from images generously made available by The Internet Archive)","""The Mother's Recompense"" by Edith Wharton is a novel written in the early 20th century. The story follows Kate Clephane, a woman in her early forties who reflects on her past and current life while navigating her relationship with her estranged daughter, Anne. The narrative explores themes of loneliness, societal expectations, and the quest for identity, ultimately delving into the emotional complexities of motherhood and reconciliation.  At the start of the novel, Kate is introduced waking up in her modest hotel room on the Riviera, reminiscing about her past experiences filled with joy and disappointment. As she receives unexpected news about her former mother-in-law's death, she begins to consider the implications for her relationship with her daughter, from whom she has been separated for many years. The opening depicts her internal struggles with self-image, isolation, and a longing for connection, setting the stage for her eventual return to New York and the challenges that lie ahead in rekindling her role as a mother. The portrayal of Kate's character, alongside her maid Aline and the fleeting interactions with her past, paints a vivid picture of her emotional landscape as she contemplates her life choices and the potential for a new beginning with Anne. (This is an automatically generated summary.)",English,Text,"Jan 1, 2024",https://www.gutenberg.org/ebooks/72573.txt.utf-8,Psychological fiction,Mothers and daughters -- Fiction,Riviera (France) -- Fiction,,,,,,,
"Coppard, William Isaac","Cottage scenes during the cholerabeing extracts from a diary written in July and August, 1832",Transcribed from the 1848 F. & J. Rivington edition by David Price. Many thanks to the British Library for making their copy available,"""Cottage Scenes During the Cholera"" by William Isaac Coppard is a historical account written in the mid-19th century. This work presents extracts from a diary kept during the outbreak of cholera in the parish of Plympton St. Mary, reflecting the devastating impact of the disease on a rural community. The narrative focuses on the experiences of the Reverend Coppard as he grapples with the challenges of ministering to his parishioners amidst the epidemic, detailing poignant stories of loss, suffering, and resilience.  The opening of the book sets the stage for the cholera outbreak, providing insights into the community's initial hopes of escaping the disease despite its rampant spread in nearby areas. It describes the arrival of the first case, Mellonia Thorn, and the ensuing chaos and fear that grips the parish as more cases emerge. Throughout this portion, the Reverend Coppard illustrates the sorrowful realities faced by families, the desperate measures taken to care for the afflicted, and the emotional toll on both the sick and their caregivers. His reflections serve as both a spiritual guide and a historical record of an era marked by fear and uncertainty, creating an atmosphere of deep empathy within the narrative. (This is an automatically generated summary.)",English,Text,"Jan 1, 2022",https://www.gutenberg.org/ebooks/67063.txt.utf-8,"Coppard, William Isaac -- Diaries",,,,,,,,,
"Nicholson, Meredith, 1866-1947   LoC No.  21015488","The man in the street: Papers on American topics   Original Publication  United States: Charles Scribner's Sons,1921.   Contents  Let Main Street alone! -- James Whitcomb Riley -- The cheerful breakfast table -- The Boulevard of Rogues -- The open season for American novelists -- The church for honest sinners -- The second-rate man in politics -- The lady of Landor Lane -- How, then, should Smith vote? -- The poor old English language.","D A Alexander, David E. Brown, and the Online Distributed Proofreading Team at https://www.pgdp.net (This file was produced from images generously made available by Cornell University Digital Collections)","""The Man in the Street: Papers on American Topics"" by Meredith Nicholson is a collection of essays written in the early 20th century. The work reflects on various facets of American life, including literature, politics, and society, offering insights into the character of the average American citizen. Nicholson's writing captures a range of topics that aim to foster a greater understanding of the intricate tapestry of American culture.  The opening of the collection sets the stage for Nicholson's exploration of themes surrounding American identity and small-town life. In the first essay, titled ""Let Main Street Alone!"", he engages in a discourse on the virtues and idiosyncrasies of small-town America, arguing against the critical portrayals often seen in larger cities and literary works, such as Sinclair Lewis's ""Main Street."" He emphasizes the pride and distinctiveness found in smaller communities, encouraging a deeper appreciation for the lives and struggles of ordinary citizens. The writing is both reflective and conversational, inviting readers to consider the rich tapestry of American experiences through Nicholson’s lens. (This is an automatically generated summary.)",English,Text,"Jan 1, 2023",https://www.gutenberg.org/ebooks/69677.txt.utf-8,,,,,,,,,,
"Miller, Alice Duer, 1874-1942",The Priceless Pearl,E-text prepared by Martin Pettit and the Online Distributed Proofreading Team (https://www.pgdp.net) from page images generously made available by Internet Archive (https://archive.org),"""The Priceless Pearl"" by Alice Duer Miller is a novel written in the early 20th century. The story revolves around Pearl Leavitt, a beautiful young woman whose looks create complications in her professional life, leading her to lose multiple jobs due to the distractions she causes in male-dominated workplaces. The book delves into themes of gender dynamics, societal expectations, and the struggles of a woman trying to make her way in a world that often judges her based on her appearance rather than her abilities.  The opening of the novel introduces Pearl in the context of her most recent job at an encyclopedia publishing company, where her beauty has led to her dismissal, largely due to the emotional turmoil it causes in one of her male colleagues. After an emotional confrontation with her boss, she storms into a board meeting to voice her grievances, making a bold statement on the double standards faced by women in the workforce. As she navigates her job search, her story intersects with her college friend, Augusta, setting the stage for a series of events that will test both women's resolve and their understanding of relationships, ambition, and self-worth. (This is an automatically generated summary.)",English,Text,"Jan 1, 2021",https://www.gutenberg.org/ebooks/64192.txt.utf-8,Love stories,Governesses -- Fiction,Impostors and imposture -- Fiction,Families -- Fiction,,,,,,
"Randolph, Vance, 1892-1980  Illustrator  Quinn, Peter   LoC No.  ca26000017","Life Among the Butterflies   Original Publication  United States: Haldeman-Julius Company,1925.   Series Title  Little blue book no. 796",The Online Distributed Proofreading Team at https://www.pgdp.net (This file was produced from images generously made available by The Internet Archive),"""Life Among the Butterflies"" by Vance Randolph is a scientific publication written in the early 20th century. This work focuses on the biology, classification, and life cycle of butterflies, examining their anatomy, metamorphosis, and ecological interactions. The book serves as a comprehensive guide for butterfly enthusiasts and researchers alike, delving into the intricacies of these fascinating creatures.  In ""Life Among the Butterflies,"" Randolph begins by outlining the historical context of butterfly literature before diving into detailed descriptions of the anatomy of butterflies, including their head, thorax, wings, and abdomen. He explores the complete metamorphosis process in butterflies, describing their life stages from egg to caterpillar, chrysalis, and finally, the adult butterfly (imago). The book also categorizes butterflies into families and subfamilies, illustrating their differences and similarities, with thorough insights into their behaviors, protective adaptations, and ecological roles. By focusing on both scientific nomenclature and engaging descriptions, Randolph aims to enhance the reader's understanding and appreciation of butterflies, making this work a valuable resource for naturalists and lepidopterists. (This is an automatically generated summary.)",English,Text,"Jan 1, 2022",https://www.gutenberg.org/ebooks/67062.txt.utf-8,,,,,,,,,,
"Field, Michael",Poems of Adoration   Note  Michael Field is the joint pseudonym of Katherine Harris Bradley (1846-1914) and Edith Emma Cooper (1862-1913).,Produced by Chuck Greif and the Online DistributedProofreading Team at http://www.pgdp.net (This file wasproduced from images generously made available by TheInternet Archive),"""Poems of Adoration"" by Michael Field is a collection of religious poetry that was likely written in the late 19th century. This book encapsulates the deep spiritual and emotional themes of love, loss, faith, and the human experience of the divine, reflecting the Victorian era's fascination with spirituality and the transcendental. The poems explore topics related to Christ's suffering, the essence of the Eucharist, and the veneration of the Virgin Mary, emphasizing adoration and devotion.  The collection comprises various poems, each delving into specific aspects of spirituality and Christian doctrine. Many pieces reflect the agony and ecstasy of religious experiences, portraying profound moments, such as Christ's death, the Virgin Mary's acceptance of her role, and the metaphysical relationship between the divine and human. Through rich imagery and evocative language, Field invites the reader into a contemplative space where they can ponder the miraculous and the transcendental nature of existence, ultimately fostering a deeper appreciation for the acts of faith and love that characterize spiritual life. (This is an automatically generated summary.)",English,Text,"Jan 1, 2020",https://www.gutenberg.org/ebooks/61070.txt.utf-8,,,,,,,,,,
"Moore-Willson, Minnie, 1859-1937  Contributor  Willson, J. M. (James M.)","The Seminoles of Florida   Note  ""Vocabulary prepared by J. M. Willson Jr.""","WebRover, Susan Carr, MFR and the Online Distributed Proofreading Team at https://www.pgdp.net (This file was produced from images generously made available by The Internet Archive)","""The Seminoles of Florida"" by Minnie Moore-Willson is a historical account written in the late 19th century, exploring the life and challenges faced by the Seminole tribe within the context of American history. The book likely focuses on the plight of the Seminoles, their resistance to removal, and their experiences during the numerous conflicts with the U.S. government.   The opening of the narrative establishes a poignant backdrop, highlighting the tragic consequences of colonization on Native American communities, particularly the Seminoles. It outlines their historic struggles, beginning with their separation from the Creeks and their determination to remain in Florida amidst relentless attempts at removal. The text delves into the early relationship between the Seminoles and European settlers, emphasizing themes of hospitality, betrayal, and the fight for autonomy. The author sets a tone of sympathy and respect for the Seminoles as a proud yet marginalized people, inviting readers to reflect on their resilience and the complex dynamics of their struggle against oppression. (This is an automatically generated summary.)",English,Text,"Dec 31, 2020",https://www.gutenberg.org/ebooks/64191.txt.utf-8,Indians of North America -- Florida,Seminole Indians,"Seminole language -- Glossaries, vocabularies, etc.",,,,,,,
"Flint, Charles Louis, 1824-1889  Contributor  Horsfall, Thomas","Milch Cows and Dairy FarmingComprising the Breeds, Breeding, and Management, in Health and Disease, of Dairy and Other Stock, the Selection of Milch Cows, with a Full Explanation of Guenon's Method; The Culture of Forage Plants, and the Production of Milk, Butter, and Cheese: Embodying the Most Recent Improvements, and Adapted to Farming in the United States and British Provinces. With a Treatise upon the Dairy Husbandry of Holland; To Which Is Added Horsfall's System of Dairy Management","Produced by MWS, Bryan Ness, Harry Lamé and the OnlineDistributed Proofreading Team at http://www.pgdp.net (Thisfile was produced from images generously made availableby The Internet Archive/American Libraries.)","""Milch Cows and Dairy Farming"" by Charles Louis Flint is a comprehensive guide to dairy farming written in the mid-19th century. The book focuses on various aspects of dairy cattle, including breeds, breeding practices, disease management, feeding, and the production of milk, butter, and cheese. Flint aims to provide practical guidance tailored to the needs of farmers in the United States and British Provinces, supplemented by innovative methods from the dairy husbandry of Holland.  The opening of the work sets the stage for an in-depth discussion on the importance of dairy farming, beginning with a preface that outlines Flint's objectives and his sources of information. He emphasizes the value of understanding the various breeds of dairy cattle, the principles of breeding, and the importance of proper care to enhance milking qualities and overall farm productivity. The chapter then introduces the characteristics of pure-bred cattle, discussing breeds such as Ayrshire, Jersey, and Short-horns, highlighting their physical attributes, milking capacities, and suitability for American farming environments. Flint's detailed exploration of these topics prepares readers for deeper insights into the management of dairy stock and practical farming techniques in subsequent chapters. (This is an automatically generated summary.)",English,Text,"Jan 1, 2019",https://www.gutenberg.org/ebooks/58592.txt.utf-8,Cows,,,,,,,,,
